name,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths
SharkPawgin#5823839,642,10577,0.8512676056338028,14,144,13,14,36028,1182,1585,3.716981132075472,318,2187,147179,2557627,172.80862944162436,183207,12425
Manuel Alarcon1#6037069,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
LEAN GAL#3205759,3,9,0.3461538461538461,2,1,0,0,35,4,4,4.0,0,8,225,1575,338.55,260,26
Ludsghy#4258818,57,2155,0.9069865319865319,10,31,7,2,8138,131,489,2.1475409836065573,61,915,53259,325420,226.9053435114504,61397,2376
Macavic#1093672,0,121,1.21,0,18,1,32,0,47,20,47.0,0,0,0,136800,0.0,0,100
swayfaze097#4838954,23,414,0.5447368421052632,8,12,5,0,904,41,37,2.5625,16,53,5295,73333,256.44878048780487,6199,760
Jacyków#9892624,536,1081,0.6103896103896104,9,42,4,3,2412,585,136,22.5,26,227,13905,586700,24.698461538461537,16317,1771
Sir_Luffwaffles1#7708807,127,3423,1.0670199501246882,11,63,7,110,8627,491,519,4.91,100,676,31069,1048199,98.70549898167006,39696,3208
Grrrr pow#5106418,244,7783,0.9035291386115626,22,105,8,111,23349,837,1490,4.702247191011236,178,1655,90714,1616838,123.6236559139785,114063,8614
DeadShot1687#6299823,74,880,0.8888888888888888,8,35,5,110,1549,232,121,13.647058823529413,17,168,14118,414294,42.00775862068966,15667,990
leandr1nho13#4383266,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
Blom-Tiee#6925955,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
Unfinishe#7062263,51,2886,1.0208701804032545,15,38,6,100,5588,109,384,2.056603773584906,53,588,25751,481328,223.47522935779816,31339,2827
Passion_Divine#1903567,0,569,1.0197132616487454,0,46,9,111,0,248,171,248.0,0,89,0,683155,0.0,0,558
Sup Solaay#9600056,17,596,0.8198074277854195,13,15,6,0,1996,39,96,2.0526315789473686,19,152,8578,96234,259.6153846153846,10574,727
Gaqwe33399#4850936,40,195,0.5718475073313783,6,12,4,44,796,51,34,5.1,10,44,3672,69095,111.29411764705885,4468,341
T3agan07#6903176,24,220,0.7457627118644068,5,14,4,9,710,53,50,6.625,8,33,2968,90214,75.0,3678,295
Thnikkamaan,136,4987,1.0972497249724973,16,44,6,46,18548,301,1027,2.1970802919708032,137,1189,69686,638080,323.5495016611296,88234,4545
Mystica#3905510,108,2837,0.9323036477160696,10,80,8,111,8535,659,485,9.835820895522387,67,598,31407,1248840,50.470106221547795,39942,3043
user32849001#6793597,150,3874,0.9362010633156114,12,42,7,27,15214,294,761,2.2442748091603053,131,870,59960,563625,236.31836734693886,75174,4138
lll#3456667,0,30,0.35294117647058826,0,6,0,0,0,40,7,40.0,0,0,0,25500,0.0,0,85
Hunter_S_Bombin#4973033,1,28,0.875,6,1,2,0,105,3,9,1.5,2,2,602,3050,319.8,707,32
blackiechan00,101,2750,0.7452574525745257,10,38,8,110,10051,258,528,2.031496062992126,127,809,43844,481785,267.8790697674419,53895,3690
XReyesT18#7041180,0,24,0.2696629213483146,0,5,0,110,0,44,6,44.0,0,7,0,19625,0.0,0,89
FaZe Splitter#1010390,504,12870,1.263995285798468,20,141,28,26,21774,1245,2569,1.95447409733124,637,1506,62751,2470760,295.46746987951815,84525,10182
Russbuck#9798189,601,12340,0.8902034338479295,15,171,13,111,41563,1923,1857,5.183288409703504,371,2639,201235,3663457,128.001248049922,242798,13862
Luluchiaa#8768510,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
fireland56#3811414,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
Teo#8038666,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
Mhamed9772#8788714,0,2,0.2,0,1,0,0,0,5,0,5.0,0,0,0,955,0.0,0,10
kamazsoft#1273914,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
willick#5324561,225,7244,0.8992055610724925,12,128,6,111,22968,996,1065,3.744360902255639,266,1871,93118,2118714,143.06927710843374,116086,8056
TheRealKulumbele#2435541,2,3,0.16666666666666666,2,1,0,0,15,3,0,3.0,0,0,161,700,68.6,176,18
AydsAydsAyds#8842784,1,25,0.373134328358209,2,4,1,110,56,24,3,24.0,1,6,344,16025,29.375,400,67
Ksk gustav#1566519,35,656,0.6693877551020408,6,42,5,110,1358,286,143,17.875,16,91,5593,566898,30.98601398601399,6951,980
Papi flashy#5364268,251,5540,0.9494430162810624,14,54,10,110,18655,581,1002,3.0418848167539267,191,1363,85552,952848,187.79173838209985,104207,5835
JOE ALCANTARA#5896324,0,74,0.3057851239669421,0,12,0,110,0,104,18,104.0,0,84,0,72000,0.0,0,242
viniciusvgs#9944935,115,2047,1.1315644002211167,25,111,3,111,228,901,561,128.71428571428572,7,93,883,1727785,4.321198668146504,1111,1809
deepies#8015304,0,54,0.84375,0,8,0,110,0,32,13,32.0,0,30,0,40925,0.0,0,64
AskarkGG#9024740,758,21133,1.043295813586098,15,188,15,58,54961,1791,3649,3.6776180698151952,487,3581,181316,4385790,138.67973199329984,236277,20256
Conberve440#8622297,230,3200,0.9403467528651188,12,40,18,61,12185,499,565,2.053497942386832,243,662,40768,524931,168.0637274549098,52953,3403
JustZiggy,283,5604,1.0486526946107784,13,70,10,111,8397,751,687,3.5424528301886786,212,379,38636,1124008,190.2687083888149,47033,5344
Lordtachanka438#7529291,2,37,0.6727272727272727,4,3,1,0,103,13,9,6.5,2,3,591,9805,101.44615384615385,694,55
Luiselbetoven#1584978,34,1134,1.0161290322580645,9,22,6,3,4485,72,197,2.4827586206896552,29,313,18171,179015,258.8666666666667,22656,1116
RoboNupe#9691851,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
Abyss#7220618,70,1766,0.927034120734908,15,26,5,13,6090,123,360,3.3243243243243237,37,290,23058,243695,272.9512195121951,29148,1905
infamousabe84,724,32052,0.9683383685800604,20,252,9,112,52056,2802,4250,4.078602620087336,687,3938,336446,7132415,157.96145610278373,388502,33100
axelsanchez200#1249784,44,896,0.6824067022086824,0,67,5,111,0,620,165,620.0,0,163,26,1087467,0.050322580645161284,26,1313
rftrtrtfd#7129073,93,2732,0.9687943262411348,13,33,5,3,8282,198,389,3.6666666666666665,54,770,27154,379143,200.6969696969697,35436,2820
TashEll5389#3508436,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
420_Vegas#7916528,655,14541,1.0652747252747252,20,142,28,111,38665,1841,2832,1.8465396188565697,997,3002,184373,2484795,150.40119500271592,223038,13650
RST KIRHA#3661611,12,362,1.0678466076696165,7,12,2,11,1626,31,46,3.875,8,90,6839,66090,195.19354838709685,8465,339
thx f0r the kill#4114462,0,6,0.42857142857142855,0,1,0,110,0,3,1,3.0,0,3,0,2725,0.0,0,14
prinz_rashid#8712420,0,0,0.0,0,1,0,110,0,5,0,5.0,0,0,0,900,0.0,0,11
ERICKVEGA007#8654842,30,113,0.13484486873508353,5,8,4,0,400,100,18,3.333333333333333,30,69,11685,40990,271.776,12085,838
Greyfox#8248495,2,279,1.0608365019011408,10,12,11,110,938,34,67,2.2666666666666666,15,77,3158,72420,152.41764705882352,4096,263
ezzyy0095#7778150,74,1172,0.932378679395386,12,32,7,31,3775,211,177,6.0285714285714285,35,221,19125,348521,96.24170616113743,22900,1257
PaRaDoXx#2893506,29,211,0.9094827586206896,8,13,2,3,525,33,57,8.25,4,42,4078,77086,72.92727272727274,4603,232
Trollkingdabs,157,2917,0.8847437063997573,12,32,6,37,6900,314,358,2.195804195804196,143,519,19882,347760,189.6171974522293,26782,3297
stilgar300,0,150,0.986842105263158,0,21,2,110,0,67,34,67.0,0,54,0,171290,0.0,0,152
LittleAiden0716#1189735,25,398,0.6347687400318979,7,16,10,110,1024,119,53,6.2631578947368425,19,81,3677,112483,83.3798319327731,4701,627
LUCIFERxDARK#8843871,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
MrDeniiz10#1986742,104,1546,0.8503850385038504,15,25,6,110,5003,178,365,2.918032786885246,61,220,16385,228695,221.0966292134832,21388,1818
Legacy#3417190,99,3131,1.440865163368615,22,37,7,14,12248,253,430,2.720430107526881,93,530,46366,464210,176.9786561264822,58614,2173
you1i#8115611,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
livernutz#5465911,929,28873,0.9170398602509132,14,202,8,69,104830,2130,3666,2.547846889952153,836,6878,453158,4996179,224.05098591549304,557988,31485
Faisal_kh_14#4163654,1,3,0.2,1,1,0,0,8,2,1,2.0,0,2,106,975,154.2,114,15
ownED#4592237,212,4581,0.8455149501661129,14,51,14,62,16826,498,722,2.677419354838709,186,1117,66674,819607,208.4313253012048,83500,5418
reddyfied#5519579,382,9950,0.914185961043734,15,149,7,110,27603,1122,1861,5.4731707317073175,205,2192,139366,2742180,118.65775401069521,166969,10884
yX PieT Xy#6264334,7,26,0.7222222222222222,0,5,0,110,0,18,7,18.0,0,3,0,19635,0.0,0,36
LIangxxx#4226202,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
TSM_Ulito67#7958396,1,114,0.4892703862660944,1,10,0,110,13,57,19,57.0,0,60,66,53922,4.347368421052631,79,233
CannedBread93#2332353,19,338,0.8871391076115486,7,10,2,0,1459,28,41,3.111111111111111,9,60,5546,52525,335.4642857142857,7005,381
Andy_Ferr_Artist#1046989,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
lowher#1074214,0,4,0.4,0,2,0,110,0,5,2,5.0,0,3,0,3650,0.0,0,10
2SaucyBoii#9086331,578,5218,1.0469502407704654,15,79,13,110,17957,899,1237,3.79324894514768,237,750,77925,1228362,166.59110122358175,95882,4984
SwLeyton#8704086,0,2,0.18181818181818185,0,1,1,0,0,5,1,5.0,1,0,6,1925,14.04,6,11
G-EVER#4292742,159,245,0.5593607305936074,9,16,2,4,308,175,38,17.5,10,23,1558,105145,76.88914285714286,1866,438
NoamK#9693918,10,918,1.184516129032258,13,29,5,110,688,176,162,6.769230769230767,26,107,3224,290265,65.26704545454545,3912,775
ELITOMxtreme13,0,7,1.1666666666666667,0,2,0,0,0,3,1,3.0,0,0,0,5278,0.0,0,6
LamerGamer11#6047414,223,5228,0.8627062706270627,11,50,11,110,21030,491,886,2.3492822966507183,209,1025,91560,805992,261.10264765784115,112590,6060
pops59,35,210,0.8641975308641975,14,16,3,2,427,59,50,4.214285714285714,14,39,4124,106999,154.22033898305085,4551,243
Savage6ixBuffalo#6138644,144,4986,0.8715259570005244,13,53,8,110,7106,465,656,3.75,124,701,47393,912251,179.59741935483868,54499,5721
Wolffe_1st_Recon#6733591,251,5010,0.7534967664310422,12,55,9,18,13895,458,860,3.013157894736842,152,1167,65429,958745,235.6598253275109,79324,6649
StekX#5406093,0,219,0.85546875,0,26,4,111,0,112,45,112.0,0,161,0,250563,0.0,0,256
Mr_TinyEagle24#6604078,242,3309,0.5991309071156979,8,41,7,1,12718,458,556,2.2786069651741294,201,794,68553,543183,271.89170305676856,81271,5523
mohbeau95#5524583,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
Rmarssella2#8070556,7,2,0.15384615384615385,0,1,0,0,0,7,0,7.0,0,0,0,1150,0.0,0,13
lillelund91#2522553,85,1101,0.5113794705062703,8,23,5,13,3641,167,167,2.256756756756757,74,280,30710,205628,413.3461077844311,34351,2153
AllinatAlomar#9003682,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
micasnysom#2811534,7,16,1.0,0,2,0,0,0,8,6,8.0,0,0,0,6625,0.0,0,16
PVT FishCooch#4411911,461,15605,0.993253134746356,14,130,17,43,37743,941,2500,2.3177339901477843,406,1976,161683,2161843,240.3787460148778,199426,15711
Supr3mo#6991785,0,4016,1.1192865105908585,5,141,2,110,138,1070,876,267.5,4,72,1628,2457086,1.2302803738317758,1766,3588
DStizzy#2268939,1824,34198,1.1147038690961244,27,287,13,110,73630,3050,5025,3.841309823677582,794,4501,250976,8658231,161.60754098360655,324606,30679
cristianteatino#2716468,2,1732,1.197786998616874,6,115,3,111,176,728,284,728.0,0,133,571,1811950,0.717032967032967,747,1446
ghost_adan123#4376935,10,111,0.5634517766497462,4,7,1,110,325,37,16,18.5,2,21,1581,29512,53.72432432432433,1906,197
d3rdud32017#5663104,927,38924,0.8218229419589129,11,229,17,51,137200,2157,6423,2.0860735009671183,1034,11229,606043,6137667,270.3666203059805,743243,47363
altayehhamza#6513767,12,277,0.8496932515337423,9,10,4,15,1268,24,60,2.1818181818181817,11,87,7689,50070,235.575,8957,326
悪夢 猿 猿怠惰な怠惰な#7591947,1364,25522,0.9276342092828844,20,167,16,44,49395,2447,3596,2.755630630630631,888,3754,236412,3494579,235.27674703718841,285807,27513
OOPS_U_DIED71#2527129,22,156,0.6638297872340425,5,5,8,0,574,35,32,3.1818181818181817,11,20,2611,20975,271.1828571428572,3185,235
TTIN-MAN-99#5708666,0,4,0.2222222222222222,0,2,0,110,0,9,0,9.0,0,4,0,3875,0.0,0,18
jojonino7#8789302,8,8,0.25,0,2,0,0,0,11,1,11.0,0,0,0,5466,0.0,0,32
OgBabytelli#5877408,180,1390,1.0072463768115942,11,32,10,24,4887,284,245,3.55,80,200,22808,346200,163.3119718309859,27695,1380
vivaloslachos7,0,46,0.7540983606557377,0,8,1,111,0,28,12,28.0,0,35,0,40475,0.0,0,61
CaptnDee#8295627,600,20882,1.1278422900351066,18,151,10,18,68830,1251,4617,2.429126213592233,515,4074,288602,2808958,327.76019184652284,357432,18515
Pessadilla#8628194,0,8,0.8888888888888888,0,2,0,110,0,4,2,4.0,0,1,0,6975,0.0,0,9
Ties veurop jong#5386670,1,2094,0.996668253212756,8,137,7,111,52,1035,530,1035.0,1,149,215,2333684,0.567536231884058,267,2101
Mellymelz,151,2307,0.7169049098819142,12,39,7,111,4658,378,357,4.725,80,462,36388,492833,131.44126984126984,41046,3218
Angelpro7771013#5002628,0,0,0.0,0,1,1,110,0,1,0,1.0,0,0,0,100,0.0,0,1
Biggie cheese#3896736,283,9272,0.9055571833186836,10,98,6,111,33173,644,2106,3.0377358490566038,212,2167,119983,1496093,199.98447204968946,153156,10239
b5 bigwill#3505460,3,57,2.28,4,9,1,0,68,10,11,10.0,1,3,216,43250,33.48,284,25
AlessioGordillo1#5105858,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
lucithepoessie#1567630,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
CODman0024#4176592,66,8595,1.335249339754544,14,175,11,111,8542,1103,1459,8.23134328358209,134,977,40308,3847456,53.653490480507706,48850,6437
qazws1577#9667938,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
o-kintamdekao#9388325,0,178,0.4850136239782016,0,23,4,111,0,178,37,178.0,0,111,0,203895,0.0,0,367
Speeddemon358,264,10469,1.1862889518413595,15,115,16,110,21840,726,1505,2.75,264,1120,93548,1818399,219.40743801652889,115388,8825
flobu2607#2656812,188,2469,0.9010948905109488,12,122,41,111,19947,1230,995,24.117647058823533,51,1311,51705,1972576,69.45268292682927,71652,2740
ArrivingSage684#2261357,0,3,0.17647058823529413,0,1,0,110,0,8,0,8.0,0,0,0,1850,0.0,0,17
Dyneer89#7222136,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
Poison#2907106,136,3161,1.139920663541291,10,40,8,6,10014,310,602,2.7678571428571432,112,589,32049,536323,169.26387096774192,42063,2773
Jeffrey#1890968,24,704,0.9361702127659576,7,35,3,110,1023,227,145,20.63636363636364,11,156,4069,409901,30.43876651982379,5092,752
NainFéroce#4542111,0,1,0.08333333333333333,1,1,0,0,1,1,0,1.0,0,0,2,550,194.4,3,12
SmarcusAurelius#9607802,0,11,0.6875,0,2,0,110,0,8,2,8.0,0,7,0,6125,0.0,0,16
imbsi2011#6620111,0,1,0.125,0,1,0,0,0,4,1,4.0,0,0,0,1250,0.0,0,8
Hoss2422#8165512,16,1531,0.7300906056270863,0,74,1,111,0,714,367,714.0,0,392,0,1168069,0.07310924369747901,0,2097
abbassalem001#7340834,5,223,0.9176954732510288,11,7,1,0,634,11,46,3.6666666666666665,3,56,2913,32430,168.76363636363638,3547,243
clastic_skyline#2465354,1,1,0.5,0,1,0,0,0,1,0,1.0,0,0,0,1050,0.0,0,2
Moe Lester#4727591,207,1484,1.175911251980983,8,55,4,110,2828,367,261,11.12121212121212,33,208,12448,957331,37.1149863760218,15276,1262
Zoeytoby2005#3211294,0,0,0.0,0,1,0,0,0,1,0,1.0,0,0,0,0,0.0,0,3
Simonr3825#6948545,166,6804,0.9922706723056728,13,58,12,13,28605,376,1144,2.0888888888888895,180,1551,142067,994512,318.02553191489363,170672,6857
Feyenoord0112#4362600,79,159,0.7293577981651376,0,22,1,11,0,101,39,101.0,1,0,0,180065,0.0,0,218
asdkii#7844531,38,903,0.5948616600790514,8,18,6,0,2552,73,131,2.607142857142857,28,301,12157,133840,238.8575342465753,14709,1518
footbawl,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
Warfam602#8447029,165,2833,0.8041441952881068,9,48,10,110,6910,526,437,6.493827160493827,81,491,22206,754824,88.85589353612167,29116,3523
7ot#5517158,498,13231,1.1340533127624923,20,112,12,45,51676,943,2421,2.3873417721518986,395,2523,247292,1751190,268.8178154825027,298968,11667
AlbatrosPoete#2974047,1,11,0.2682926829268293,3,1,1,0,28,3,1,3.0,1,3,291,1975,413.8,319,41
Janne#3768250,1204,40392,1.076287670867862,19,262,15,111,123862,3310,5351,2.853448275862069,1160,5979,498485,7549448,196.62253776435043,622347,37529
Cade2121#4173962,20,597,0.7434620174346201,9,16,3,1,1616,57,118,3.0,19,115,7236,109015,220.45263157894738,8852,803
anon44496684#2274631,20,958,1.058563535911602,10,19,8,11,4219,55,131,1.6666666666666667,33,169,12338,146275,266.52,16557,905
FlexedXxradar#2827944,10,322,1.062706270627063,9,10,3,0,1323,20,55,2.8571428571428568,7,56,5549,53845,298.89,6872,303
omar_de_villa_22#1782583,0,0,0.0,0,1,0,0,0,4,0,4.0,0,0,0,300,0.0,0,8
Cavage#5516573,0,0,0.0,0,1,0,17,0,0,0,0.0,0,0,0,0,0.0,0,0
Xam_snraem#9356911,0,48,0.4615384615384616,0,7,0,110,0,53,12,53.0,0,22,0,32735,0.0,0,104
Echo_Two1#4469098,60,856,0.8925964546402503,8,18,6,0,2224,89,144,3.7083333333333335,24,224,10723,128090,216.4179775280899,12947,959
konkwistator#9532800,3,1,0.16666666666666666,0,1,0,0,0,4,1,4.0,0,0,0,850,0.0,0,6
bouthebenjamins#4435275,420,17776,0.8885778555361159,20,234,16,111,41810,2469,3715,6.330769230769231,390,4311,119317,6368199,80.43207776427705,161127,20005
SPoOKY#6529753,2282,38200,1.1497020405706375,13,331,16,111,51440,6425,4707,2.974537037037037,2160,6259,354971,10525046,199.79729182879382,406411,33226
Ayas1612#9957369,0,0,0.0,0,1,1,0,1,1,0,1.0,1,0,303,0,316.2,304,7
Oh Bulletz8267#3366131,125,1281,1.2028169014084509,10,33,7,110,1800,221,284,8.84,25,138,7476,376610,78.02714932126699,9276,1065
TyM_Seba_13#2401348,0,142,0.6454545454545455,0,17,1,110,0,88,32,88.0,0,14,0,124220,0.0,0,220
carr23-r_#4277497,14,80,0.4819277108433735,3,10,1,110,22,65,7,65.0,0,9,205,54580,9.636923076923075,227,166
KrisVal55#2097189,20,215,0.9307359307359307,4,15,3,111,152,54,32,9.0,6,45,2669,97891,72.81111111111113,2821,231
cEnBlaRk#8777192,298,8194,1.1946347864120137,14,127,11,110,28770,1001,1728,4.085714285714285,245,1535,113984,2094395,131.1764235764236,142754,6859
RarefiedLime715#9051704,0,2,0.14285714285714285,0,1,0,0,0,6,0,6.0,0,0,0,2275,0.0,0,14
Matt93650#4727617,248,3106,1.0260984473075652,11,74,8,111,8555,752,554,7.372549019607844,102,458,39735,1173596,67.45132978723404,48290,3027
Crusty Lips#5492303,236,7890,1.0861784140969164,179,89,16,111,26315,588,1521,2.94,200,1505,82542,1359204,150.89897959183668,108857,7264
PeralezFour#4637706,0,0,0.0,0,1,0,0,0,2,0,2.0,0,0,0,650,0.0,0,5
MayTaG204#6314802,480,7071,1.0011326631742885,9,193,9,113,10937,2114,1091,6.908496732026143,306,840,54059,4624692,61.20482497634815,64996,7063
Angery#4467743,0,21,0.9545454545454546,0,4,0,0,0,12,2,12.0,0,0,0,13975,0.0,0,22
TTG Rose8436#4609548,0,7,0.1794871794871795,0,2,1,110,0,15,2,15.0,0,16,0,5725,0.0,0,39
GuiCaverzan#6898851,8,898,0.9604278074866308,4,38,2,110,234,219,194,54.75,4,114,1468,467695,20.087671232876712,1702,935
Killer-Insstinct#1463361,4,48,0.5106382978723404,3,2,3,0,177,8,8,2.0,4,22,719,6395,299.625,896,94
MathRei#1322612,0,1,0.25,0,1,0,110,0,2,0,2.0,0,0,0,350,0.0,0,4
Fear DaSweat#8726184,4,101,0.8487394957983193,9,5,2,0,398,21,16,3.5,6,22,2562,17930,204.88571428571427,2960,119
Ilovelettuce474#7471739,1,75,0.7281553398058253,4,4,2,0,304,6,13,2.0,3,28,1873,14565,245.5,2177,103
SmashedDolphins#6984385,145,5894,1.4070183814752923,14,57,14,111,23155,438,1165,1.9295154185022023,227,990,68422,979910,259.9616438356164,91577,4189
Tav#6226139,569,8190,0.8159808707781209,22,77,8,111,18098,1153,1936,2.5968468468468457,444,1222,95358,1208283,169.30459670424978,113456,10037
S Town King,5,72,0.5901639344262295,3,3,4,0,324,10,15,2.5,4,14,1490,9500,284.82,1814,122
adrian_bankss#7070605,0,0,0.0,0,1,0,110,0,1,0,1.0,0,0,0,300,0.0,0,2
Blazer-1965RR#4311847,0,68,0.4387096774193549,0,12,0,110,0,77,7,77.0,0,37,0,74700,0.0,0,155
MaxyMax#3381154,2,0,0.0,0,1,0,0,0,2,0,2.0,0,0,0,1475,0.0,0,5
Oopsmyb#7184311,4,6,0.6666666666666666,0,2,0,0,0,4,0,4.0,0,0,0,6000,0.0,0,9
Tastetherambo#4044400,876,24800,1.0097308741500752,15,200,11,111,59279,2200,4500,4.166666666666667,528,4293,209342,4891954,152.27045454545453,268621,24561
